TITULO,AUTOR,A0,A#0,B0,C1,C#1,D1,D#1,E1,F1,F#1,G1,G#1,A1,A#1,B1,C2,C#2,D2,D#2,E2,F2,F#2,G2,G#2,A2,A#2,B2,C3,C#3,D3,D#3,E3,F3,F#3,G3,G#3,A3,A#3,B3,C4,C#4,D4,D#4,E4,F4,F#4,G4,G#4,A4,A#4,B4,C5,C#5,D5,D#5,E5,F5,F#5,G5,G#5,A5,A#5,B5,C6,C#6,D6,D#6,E6,F6,F#6,G6,G#6,A6,A#6,B6,C7,C#7,D7,D#7,E7,F7,F#7,G7,G#7,A7,A#7,B7,C8
"Piano Sonata in C major, Hoboken XVI:7 - Movement 1",Haydn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,10,0.0,8,8,0.0,30,0.0,10,0.0,10,28,0.0,10,0.0,13,4,0.0,28,0.0,10,0.0,14,34,0.0,54,0.0,58,36,6,54,0.0,24,0.0,16,16,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The pearls,Burgmueller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,23,0.0,2,0.0,0.0,0.0,0.0,13,0.0,1,0.0,1,25,0.0,17,0.0,2,1,4,63,0.0,8,0.0,25,51,0.0,7,0.0,45,22,4,13,0.0,15,0.0,16,38,0.0,38,1,47,26,7,44,0.0,45,0.0,46,47,0.0,43,0.0,37,29,4,38,0.0,27,0.0,24,22,0.0,15,0.0,9,5,0.0,5,0.0,0.0,0.0,0.0,0.0
"The Seasons, Opus 37a - March - Song of the Lark",Tchaikovsky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,3,18,0.0,7,17,2,5,0.0,35,2,1,2,18,54,0.0,24,62,2,33,7,80,16,0.0,7,18,35,2,26,17,0.0,9,6,34,6,0.0,6,19,20,0.0,13,10,0.0,2,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prelude and Fugue in C major BWV 846,Johan Sebastian Bach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,1,2,3,23,2,9,1,9,33,1,56,4,44,46,7,89,8,77,17,59,111,3,92,4,92,65,28,93,8,67,6,54,72,7,70,0.0,46,34,3,31,0.0,18,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The Seasons, Opus 37a - January - At the Fireside",Tchaikovsky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,6,0.0,0.0,0.0,0.0,16,2,2,3,16,26,8,86,37,30,9,15,61,24,43,53,41,41,12,71,60,41,18,52,152,13,73,84,77,59,40,88,39,70,39,27,67,11,19,13,7,9,0.0,4,1,5,0.0,0.0,9,0.0,0.0,0.0,1,5,0.0,0.0,0.0,1,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The Seasons, Opus 37a - August - Harvest",Tchaikovsky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,5,0.0,4,0.0,32,34,4,33,5,98,14,26,39,2,54,25,90,57,51,57,77,149,32,107,153,13,132,35,185,53,17,52,60,191,21,74,143,7,55,17,114,29,1,5,18,55,4,10,43,2,18,2,38,2,0.0,0.0,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danzas españolas - 2 Oriental,Enrique Granados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,8,8,0.0,10,0.0,17,14,0.0,14,4,34,0.0,36,38,1,30,6,95,40,10,49,12,116,0.0,102,122,0.0,83,3,73,31,5,44,18,52,0.0,90,59,1,9,4,27,16,1,61,0.0,60,0.0,35,35,0.0,15,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The Seasons, Opus 37a - February - Carnival",Tchaikovsky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,6,0.0,6,5,0.0,0.0,0.0,3,0.0,2,14,2,26,17,40,23,24,27,33,77,14,53,24,51,83,17,113,65,56,40,58,133,30,88,50,42,76,15,99,35,51,25,35,107,14,89,25,55,39,18,62,14,12,5,8,18,3,18,1,4,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The Seasons, Opus 37a - September - The Hunt",Tchaikovsky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,6,2,8,2,10,18,6,22,13,66,22,14,77,41,38,13,67,84,13,60,27,134,32,13,138,36,60,15,49,110,22,44,21,152,51,16,162,34,64,1,86,124,6,56,16,102,44,2,65,0.0,19,0.0,23,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The Seasons, Opus 37a - June - Barcarolle",Tchaikovsky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,1,0.0,11,58,1,13,17,2,18,6,112,16,9,18,25,85,6,37,77,21,46,15,135,43,31,26,46,109,3,66,68,28,68,17,113,32,33,24,21,69,1,12,36,0.0,10,10,25,1,6,0.0,1,15,0.0,0.0,5,0.0,0.0,4,0.0,0.0,3,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0
